id,title,overview,release_date,runtime,genres,production_companies,budget,revenue,popularity,vote_average,vote_count,status,poster_path,backdrop_path
912649,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2024-10-22,109,"Action, Science Fiction, Adventure","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions",120000000,468513700,12656.263,6.6,1128,Released,https://image.tmdb.org/t/p/w500/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,https://image.tmdb.org/t/p/w500/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg
1241982,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2024-11-21,100,"Animation, Adventure, Family, Comedy","Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Animation Studios",150000000,600055655,4485.032,6.828,424,Released,https://image.tmdb.org/t/p/w500/yh64qw9mgXBvlaWDi7Q9tpUBAvH.jpg,https://image.tmdb.org/t/p/w500/tElnmtQ6yz1PjN1kePNl8yMSb59.jpg
1035048,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,2024-11-07,91,"Action, Science Fiction, Thriller","Lyrical Media, Fuller Media, Inspire Entertainment, Grinder Monkey, John Glenn Entertainment",0,0,2554.883,6.4,126,Released,https://image.tmdb.org/t/p/w500/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg,https://image.tmdb.org/t/p/w500/au3o84ub27qTZiMiEc9UYzN74V3.jpg
974453,Absolution,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",2024-10-31,112,"Action, Crime, Thriller","Electromagnetic Productions, Sculptor Media, north.five.six",30000000,0,1846.723,6.1,120,Released,https://image.tmdb.org/t/p/w500/cNtAslrDhk1i3IOZ16vF7df6lMy.jpg,https://image.tmdb.org/t/p/w500/nOoGIymGBNtA7AEN0B6nshSEQ1p.jpg
1299652,Watchmen: Chapter II,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",2024-11-25,89,"Animation, Mystery, Science Fiction, Action","Warner Bros. Animation, DC Entertainment, Paramount Pictures",0,0,1439.232,7.7,42,Released,https://image.tmdb.org/t/p/w500/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg,https://image.tmdb.org/t/p/w500/m2hs6YPVrzjvRC21SE9BeXtgqFW.jpg
1182387,Armor,"Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.",2024-10-30,89,"Action, Crime, Thriller","Convergence Entertainment, TPC, BondIt Media Capital, Grindstone Entertainment Group",11500000,0,1423.925,5.6,54,Released,https://image.tmdb.org/t/p/w500/685wCHwr2kyQZxvThNIM04HuuCt.jpg,https://image.tmdb.org/t/p/w500/evFChfYeD2LqobEJf8iQsrYcGTw.jpg
957119,Sidelined: The QB and Me,"Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",2024-11-29,99,"Comedy, Romance, TV Movie","Great Pacific Media, Thunderbird Entertainment",0,0,1338.291,6.6,58,Released,https://image.tmdb.org/t/p/w500/hklQwv6QVoOp5bWyh1bjuF2ydyG.jpg,https://image.tmdb.org/t/p/w500/h3fwlwHotd3JfV13HdW0mxDcxPD.jpg
558449,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",2024-11-05,148,"Action, Adventure, History","Paramount Pictures, Scott Free Productions, Lucy Fisher/Douglas Wick Productions",310000000,368092895,1262.621,6.7,1008,Released,https://image.tmdb.org/t/p/w500/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,https://image.tmdb.org/t/p/w500/euYIwmwkmz95mnXvufEmbL6ovhZ.jpg
1147416,"Miraculous World, London: At the Edge of Time","To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",2024-11-14,50,"Animation, Adventure, Action, Fantasy","Zagtoon, Method Animation",0,0,1219.844,8.7,31,Released,https://image.tmdb.org/t/p/w500/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg,https://image.tmdb.org/t/p/w500/cBTwQKMd7Vn6rGTGBtoFLIfj7uM.jpg
1184918,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-08,102,"Animation, Action, Science Fiction, Family",DreamWorks Animation,78000000,321836235,1147.165,8.396,3368,Released,https://image.tmdb.org/t/p/w500/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,https://image.tmdb.org/t/p/w500/mQZJoIhTEkNhCYAqcHrQqhENLdu.jpg
